FLAG_MALE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,FLAG_EMPLOYED,DAYS_AGE,FLAG_CHILDREN,FLAG_APPROVED
False,False,True,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1692,False,False,False,Sales staff,2.0,True,21144,False,False
False,False,True,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,21885,False,False
True,True,True,0,351000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22329,False,True
False,False,False,0,135000.0,Pensioner,Higher education,Single / not married,House / apartment,365243,False,True,False,,1.0,False,21089,False,False
False,False,True,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-888,False,False,False,Laborers,2.0,True,17386,False,False
False,True,True,1,279000.0,Working,Higher education,Civil marriage,House / apartment,-3731,True,True,False,Managers,3.0,True,16187,True,False
True,True,False,2,135000.0,Working,Higher education,Married,With parents,-5056,False,True,False,Laborers,4.0,True,11645,True,True
True,True,True,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,23646,False,False
True,True,True,1,360000.0,Commercial associate,Higher education,Married,House / apartment,-410,False,True,True,Laborers,3.0,True,16537,True,True
False,False,False,0,67500.0,Working,Secondary / secondary special,Married,With parents,-8691,True,True,False,Medicine staff,2.0,True,15675,False,True
False,False,False,0,103500.0,Working,Secondary / secondary special,Separated,House / apartment,-3657,True,False,False,Cooking staff,1.0,True,15715,False,True
False,False,True,0,94500.0,Pensioner,Higher education,Single / not married,House / apartment,365243,False,False,False,,1.0,False,22481,False,True
False,False,False,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1954,True,False,False,Laborers,2.0,True,18355,False,False
False,False,True,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,23784,False,False
False,False,True,0,69372.0,Working,Secondary / secondary special,Married,House / apartment,-217,True,True,False,Laborers,2.0,True,15887,False,False
True,True,False,0,157500.0,Working,Incomplete higher,Married,With parents,-982,False,True,False,Drivers,2.0,True,10611,False,True
False,False,True,0,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22179,False,False
False,False,True,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2878,False,False,False,Laborers,2.0,True,19482,False,True
True,True,True,5,202500.0,Working,Secondary / secondary special,Married,Co-op apartment,-2727,False,False,False,Managers,7.0,True,11384,True,True
True,False,False,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-554,True,False,False,Managers,3.0,True,9943,True,True
False,True,True,1,630000.0,Working,Secondary / secondary special,Married,House / apartment,-401,False,False,False,,3.0,False,17755,True,False
True,True,True,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-5374,False,False,True,Laborers,2.0,True,12658,False,True
False,False,True,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1518,False,False,False,,4.0,False,12760,True,True
True,True,False,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-2814,True,False,False,Laborers,2.0,True,9811,False,True
True,False,False,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-6771,False,False,False,Laborers,1.0,True,22707,False,False
True,True,True,0,184500.0,Working,Secondary / secondary special,Married,House / apartment,-1200,False,False,False,Drivers,2.0,True,12298,False,False
False,False,True,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-6590,True,True,True,Laborers,2.0,True,19317,False,False
False,False,False,0,135000.0,Working,Secondary / secondary special,Married,With parents,-2089,False,False,True,Medicine staff,2.0,True,9864,False,True
False,False,True,0,112500.0,State servant,Lower secondary,Married,House / apartment,-2656,False,False,False,Laborers,2.0,True,19814,False,False
False,True,True,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-1194,True,True,False,Cleaning staff,1.0,True,16582,False,False
False,False,False,0,216000.0,Working,Secondary / secondary special,Separated,House / apartment,-561,True,False,False,Cleaning staff,1.0,True,20062,False,True
True,True,True,0,315000.0,Working,Higher education,Married,House / apartment,-2796,False,False,False,Drivers,2.0,True,18335,False,True
False,False,True,1,108000.0,Commercial associate,Higher education,Married,House / apartment,-1021,False,False,False,Accountants,3.0,True,13877,True,True
True,True,True,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2422,False,False,False,Drivers,2.0,True,21684,False,True
False,False,True,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1043,False,False,False,Security staff,2.0,True,16562,False,True
False,True,True,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-5762,False,False,False,Managers,3.0,True,12500,True,True
False,False,True,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22044,False,True
False,False,False,0,135000.0,Working,Higher education,Single / not married,House / apartment,-637,True,False,False,,1.0,False,12071,False,False
False,True,True,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1083,True,False,False,Sales staff,3.0,True,13173,True,True
True,True,True,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-4314,False,False,False,,4.0,False,12296,True,True
False,False,False,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-3195,False,False,False,Sales staff,3.0,True,12297,True,True
True,True,True,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,-1359,False,True,False,Laborers,3.0,True,16521,True,True
False,False,False,0,117000.0,Working,Higher education,Married,House / apartment,-2143,True,True,False,,2.0,False,19300,False,False
False,False,True,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3613,False,False,False,,2.0,False,22651,False,False
True,True,True,2,180000.0,Working,Higher education,Married,House / apartment,-2477,False,False,False,Managers,4.0,True,13174,True,True
False,False,True,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-8375,False,False,True,High skill tech staff,2.0,True,15231,False,True
False,True,False,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3208,False,False,False,Laborers,3.0,True,14527,True,False
True,True,True,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-2531,True,False,False,Laborers,4.0,True,10796,True,True
False,False,True,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-14413,True,False,False,,2.0,False,22181,False,False
False,False,True,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-469,False,False,False,,2.0,False,23360,False,False
True,True,True,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2700,False,True,False,Core staff,2.0,True,17235,False,False
False,False,True,0,315000.0,Working,Higher education,Separated,House / apartment,-555,False,False,False,Managers,1.0,True,13271,False,True
True,True,True,0,297000.0,Working,Secondary / secondary special,Married,House / apartment,-1161,False,True,False,,2.0,False,20509,False,True
False,False,True,0,252000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,21084,False,False
False,True,True,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-4596,False,False,False,Laborers,3.0,True,14512,True,False
False,False,False,0,112500.0,Commercial associate,Incomplete higher,Married,House / apartment,-2339,False,True,False,,2.0,False,10177,False,True
False,False,True,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-3050,False,True,True,Private service staff,1.0,True,14010,False,True
True,True,False,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-586,True,False,False,Drivers,2.0,True,14867,False,False
False,False,True,0,103500.0,Working,Incomplete higher,Married,House / apartment,-4583,False,False,False,Laborers,2.0,True,11855,False,True
False,False,False,0,90000.0,Working,Higher education,Separated,House / apartment,-1526,False,False,False,Core staff,1.0,True,21887,False,True
False,True,True,0,112500.0,Working,Higher education,Married,House / apartment,-2316,False,False,True,Accountants,2.0,True,11353,False,True
True,True,True,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,-3304,True,True,False,Drivers,4.0,True,16468,True,False
False,False,True,1,292500.0,Working,Incomplete higher,Single / not married,House / apartment,-2593,False,False,False,Core staff,2.0,True,12665,True,True
False,True,True,0,180000.0,Working,Higher education,Married,House / apartment,-410,False,False,False,,2.0,False,16518,False,True
False,False,False,0,157500.0,Working,Higher education,Separated,House / apartment,-3000,False,False,False,Medicine staff,1.0,True,17237,False,True
False,False,True,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-2667,False,False,False,Core staff,3.0,True,13673,True,True
False,False,True,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8647,False,False,False,Medicine staff,2.0,True,16340,False,False
False,False,True,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,21186,False,False
True,True,False,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-1215,False,False,False,Laborers,2.0,True,18013,False,False
False,False,False,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2164,False,True,True,High skill tech staff,1.0,True,11734,False,True
True,True,True,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-1266,True,True,False,Drivers,2.0,True,15366,False,True
False,False,True,0,144000.0,Pensioner,Higher education,Married,House / apartment,365243,False,True,False,,2.0,False,23110,False,False
False,True,True,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-5762,False,False,False,Managers,3.0,True,12500,True,True
True,False,False,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-2927,True,False,False,Managers,2.0,True,13155,False,True
False,False,False,1,180000.0,Working,Higher education,Single / not married,House / apartment,-1181,False,False,False,Sales staff,2.0,True,12534,True,True
True,False,False,1,202500.0,Working,Lower secondary,Civil marriage,House / apartment,-1064,True,True,False,Drivers,3.0,True,14454,True,True
True,True,True,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-734,True,True,False,Drivers,2.0,True,12992,False,False
True,True,True,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2422,False,False,False,Drivers,2.0,True,21684,False,True
False,False,True,1,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2196,False,False,True,,3.0,False,10765,True,True
True,True,True,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2564,False,True,False,Laborers,3.0,True,10707,True,False
True,True,True,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22044,False,True
False,False,False,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-3007,False,True,False,Core staff,2.0,True,10653,False,True
False,False,True,0,121500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-3873,True,False,False,Sales staff,1.0,True,11118,False,True
True,True,True,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-2092,False,False,False,Core staff,4.0,True,13536,True,True
False,False,False,7,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1649,True,True,False,Cleaning staff,9.0,True,13827,True,False
True,True,False,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-128,False,False,False,Drivers,1.0,True,16896,False,False
True,True,False,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-682,True,True,False,Laborers,2.0,True,20043,False,True
False,False,True,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-5770,False,False,False,High skill tech staff,3.0,True,14584,True,False
False,False,True,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22892,False,True
False,False,True,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-628,False,True,True,Sales staff,3.0,True,17058,True,False
False,False,False,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-3119,True,False,False,Sales staff,2.0,True,19488,False,True
False,False,True,0,126000.0,Working,Secondary / secondary special,Separated,House / apartment,-1283,True,True,False,Cleaning staff,1.0,True,21646,False,True
True,True,True,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3099,False,True,False,,2.0,False,17401,False,False
False,False,False,1,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-17,False,False,False,Sales staff,2.0,True,13719,True,False
True,True,True,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-4480,True,True,False,Laborers,4.0,True,14312,True,True
False,True,True,3,243000.0,Commercial associate,Higher education,Single / not married,Rented apartment,-1112,False,False,False,Managers,4.0,True,23198,True,False
True,False,True,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-1296,False,False,False,Laborers,2.0,True,18427,False,True
False,False,False,0,351000.0,Commercial associate,Higher education,Married,House / apartment,-1081,False,True,False,,2.0,False,21574,False,False
False,True,True,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1753,False,True,False,Sales staff,3.0,True,14935,True,True
True,False,False,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-685,False,True,False,Laborers,3.0,True,14829,True,True
True,True,False,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,-4642,False,False,False,Sales staff,2.0,True,16009,False,False
False,False,False,0,594000.0,Pensioner,Higher education,Single / not married,Municipal apartment,365243,False,False,False,,1.0,False,17387,False,False
False,False,False,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1330,False,False,False,Medicine staff,2.0,True,17834,False,False
True,True,False,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-6690,False,False,False,High skill tech staff,2.0,True,15019,False,False
True,False,False,0,139500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-716,False,False,False,,2.0,False,9205,False,True
False,False,False,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-6649,True,True,False,,2.0,False,14216,False,True
True,True,True,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-1466,False,False,True,,3.0,False,15131,True,True
False,True,True,1,333000.0,Commercial associate,Higher education,Married,House / apartment,-1616,False,False,False,Managers,3.0,True,11525,True,False
True,False,True,0,67500.0,Pensioner,Higher education,Married,House / apartment,365243,False,False,False,,2.0,False,23010,False,True
True,False,True,0,517500.0,Commercial associate,Higher education,Single / not married,House / apartment,-287,False,False,False,Core staff,1.0,True,10635,False,True
False,False,True,0,193500.0,Pensioner,Incomplete higher,Widow,House / apartment,365243,False,False,False,,1.0,False,24295,False,True
False,False,True,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-99,False,False,False,Cooking staff,2.0,True,16671,False,True
False,False,False,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22682,False,True
False,False,True,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-4532,False,False,False,Laborers,2.0,True,19802,False,False
True,True,False,2,180000.0,Commercial associate,Secondary / secondary special,Separated,With parents,-2451,False,False,False,Laborers,3.0,True,15589,True,False
True,True,True,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3017,False,True,False,Laborers,2.0,True,19452,False,False
False,False,True,1,135000.0,Working,Higher education,Married,House / apartment,-3163,False,False,False,Accountants,3.0,True,10650,True,True
False,False,True,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2796,False,False,False,Sales staff,1.0,True,17207,False,True
True,True,False,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-712,False,True,False,Security staff,1.0,True,17054,False,False
True,False,False,1,135000.0,Pensioner,Lower secondary,Married,House / apartment,365243,False,True,False,,3.0,False,19128,True,False
False,False,True,0,135000.0,Working,Higher education,Married,House / apartment,-8491,False,False,False,Private service staff,2.0,True,22112,False,False
False,False,True,0,157500.0,State servant,Incomplete higher,Civil marriage,House / apartment,-795,False,False,False,Core staff,2.0,True,10338,False,False
True,True,False,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3000,False,False,False,Drivers,2.0,True,16197,False,False
True,False,True,1,135000.0,Working,Secondary / secondary special,Married,Rented apartment,-2742,True,True,False,Laborers,3.0,True,10414,True,False
True,True,True,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-574,False,False,False,Laborers,2.0,True,17314,False,True
True,True,True,1,121500.0,Working,Secondary / secondary special,Married,With parents,-2355,True,True,False,Laborers,3.0,True,10511,True,True
True,False,False,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1722,False,False,False,Laborers,3.0,True,14452,True,True
False,False,True,0,157500.0,State servant,Incomplete higher,Civil marriage,House / apartment,-795,False,False,False,Core staff,2.0,True,10338,False,False
False,False,True,0,62653.5,Working,Secondary / secondary special,Separated,House / apartment,-320,True,True,False,Sales staff,1.0,True,19658,False,False
False,True,True,1,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-764,False,True,False,,3.0,False,17325,True,True
True,True,False,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-6610,False,False,False,Laborers,2.0,True,19972,False,True
True,False,False,1,247500.0,Working,Higher education,Single / not married,House / apartment,-1870,False,False,False,Laborers,2.0,True,13816,True,False
True,True,True,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22253,False,True
False,False,False,0,54000.0,Working,Higher education,Married,House / apartment,-4723,True,False,False,Medicine staff,2.0,True,14923,False,False
False,True,True,0,225000.0,Working,Higher education,Married,House / apartment,-2450,False,False,True,Managers,2.0,True,17795,False,True
False,False,True,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,20665,False,False
True,True,True,0,135000.0,Working,Lower secondary,Married,With parents,-1866,False,False,True,Laborers,2.0,True,9981,False,False
False,False,False,2,90000.0,Working,Secondary / secondary special,Married,With parents,-1268,True,True,True,Laborers,4.0,True,9187,True,True
True,True,True,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-741,False,True,False,Core staff,2.0,True,11582,False,False
False,False,True,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,True,False,,2.0,False,22657,False,True
False,True,True,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2150,True,False,False,Managers,2.0,True,18667,False,False
True,True,True,2,225000.0,Working,Higher education,Married,House / apartment,-992,False,False,False,Drivers,4.0,True,13456,True,True
True,False,False,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-2418,False,False,True,Laborers,3.0,True,12946,True,True
False,True,False,0,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,-433,True,True,False,Sales staff,2.0,True,11102,False,True
True,False,True,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-248,False,False,False,Laborers,2.0,True,16896,False,False
False,False,True,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2939,False,False,False,Sales staff,1.0,True,14279,False,True
True,True,False,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-747,False,False,True,Laborers,2.0,True,14494,False,False
False,True,False,0,67500.0,Working,Secondary / secondary special,Married,Municipal apartment,-1831,False,False,False,Sales staff,2.0,True,14902,False,False
False,False,True,0,112500.0,Pensioner,Lower secondary,Married,House / apartment,365243,False,False,False,,2.0,False,24821,False,False
True,True,False,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3000,False,False,False,Drivers,2.0,True,16197,False,True
False,False,True,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3201,False,False,False,High skill tech staff,3.0,True,15911,True,True
False,False,True,2,112500.0,Working,Higher education,Married,House / apartment,-2133,True,True,True,Core staff,4.0,True,14768,True,True
True,True,False,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-6690,False,False,False,High skill tech staff,2.0,True,15019,False,True
True,True,True,0,225000.0,Commercial associate,Higher education,Single / not married,With parents,-2152,False,True,False,Sales staff,1.0,True,10681,False,False
False,False,True,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3915,False,False,False,Cleaning staff,2.0,True,19984,False,True
False,False,False,0,112500.0,Working,Higher education,Single / not married,House / apartment,-143,False,False,False,Core staff,1.0,True,9431,False,False
True,False,False,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-6583,False,True,False,Laborers,2.0,True,16797,True,True
False,False,True,1,94500.0,Working,Higher education,Separated,House / apartment,-1472,False,True,True,Laborers,2.0,True,14559,True,True
False,True,False,2,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2206,True,True,False,Laborers,3.0,True,16378,True,False
True,False,False,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-2585,True,False,False,Laborers,2.0,True,10152,False,True
False,True,True,0,157500.0,State servant,Higher education,Civil marriage,House / apartment,-2058,False,False,True,Core staff,2.0,True,13783,False,True
False,True,False,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3215,False,False,True,,3.0,False,10858,True,True
False,False,True,0,270000.0,State servant,Higher education,Married,House / apartment,-167,True,True,False,Managers,2.0,True,13752,False,False
False,True,True,0,90000.0,Pensioner,Higher education,Married,House / apartment,365243,False,False,False,,2.0,False,21452,False,True
False,False,True,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1953,False,False,False,Core staff,2.0,True,11107,False,True
True,True,False,2,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2879,False,True,False,Laborers,4.0,True,15476,True,True
True,True,False,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-2993,True,False,False,,2.0,False,9810,False,True
True,True,True,2,180000.0,Working,Higher education,Married,House / apartment,-2477,False,False,False,Managers,4.0,True,13174,True,True
False,False,True,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2774,False,False,True,Core staff,3.0,True,10406,True,False
True,False,True,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-2187,True,True,False,Managers,4.0,True,12238,True,False
False,False,True,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,23026,False,False
False,False,True,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-10121,False,False,False,High skill tech staff,2.0,True,18114,False,False
True,False,False,2,112500.0,Working,Higher education,Married,House / apartment,-4459,False,False,False,Low-skill Laborers,4.0,True,11278,True,True
False,False,True,0,45000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1389,True,True,False,Sales staff,2.0,True,15724,False,True
False,True,True,0,157500.0,Working,Higher education,Married,Co-op apartment,-347,True,False,False,Accountants,2.0,True,22185,False,True
False,True,True,0,135000.0,Pensioner,Higher education,Married,House / apartment,365243,False,False,False,,2.0,False,20228,False,False
False,False,True,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,False,True,False,,1.0,False,20462,False,False
False,False,False,0,202500.0,Working,Higher education,Married,House / apartment,-4839,False,False,True,Core staff,2.0,True,19271,False,True
False,False,True,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22022,False,False
False,False,True,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,False,False,False,,1.0,False,24302,False,True
False,False,True,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2010,False,True,False,,2.0,False,18858,False,False
False,False,True,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,21008,False,True
False,False,True,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-2939,False,False,False,,2.0,False,19064,False,True
False,False,False,0,67500.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,365243,False,False,False,,1.0,False,22066,False,False
False,True,True,1,135000.0,Working,Higher education,Married,House / apartment,-393,False,False,False,Core staff,3.0,True,13467,True,True
False,False,False,0,216000.0,Working,Secondary / secondary special,Separated,House / apartment,-561,True,False,False,Cleaning staff,1.0,True,20062,False,True
True,True,True,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-840,False,False,False,Laborers,3.0,True,18824,True,False
True,True,True,0,225000.0,Working,Higher education,Single / not married,With parents,-663,True,True,False,,1.0,False,9444,False,False
False,False,True,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,False,False,False,,2.0,False,22960,False,False
False,False,True,2,99000.0,Working,Secondary / secondary special,Married,House / apartment,-1083,True,True,False,Sales staff,4.0,True,12017,True,True
True,True,False,2,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4082,False,False,False,Laborers,4.0,True,16479,True,True
False,False,False,1,157500.0,Working,Higher education,Married,House / apartment,-2877,False,True,False,Accountants,3.0,True,13549,True,False
True,True,True,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-2514,False,False,False,High skill tech staff,2.0,True,15647,False,True
True,True,False,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1878,False,False,False,Laborers,3.0,True,10502,True,False
False,False,True,0,58500.0,Pensioner,Higher education,Married,House / apartment,365243,False,False,False,,2.0,False,20657,False,False
True,True,True,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3396,False,False,False,Laborers,4.0,True,10380,True,True
True,True,True,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-2628,False,False,False,Laborers,2.0,True,14811,False,False
False,False,False,0,67500.0,Working,Secondary / secondary special,Married,With parents,-2827,True,True,False,Cooking staff,2.0,True,16182,False,True
False,False,False,1,81000.0,State servant,Higher education,Married,With parents,-2317,False,False,False,Core staff,3.0,True,11707,True,True
False,False,True,2,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-588,False,False,False,Sales staff,4.0,True,14656,True,True
True,True,True,0,418500.0,Working,Higher education,Married,House / apartment,-73,False,True,False,,2.0,False,19038,False,True
False,False,False,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1570,False,False,False,Private service staff,2.0,True,11004,False,False
